ts_code,stock_name,hist_samples,spring_corr_excess,spring_corr_excess_p,now_to_post7_win_rate_pct,now_to_post7_excess_win_rate_pct,now_to_post7_avg_return_pct,now_to_post7_avg_excess_return_pct,now_to_post7_excess_ttest_p,now_to_post7_excess_binom_p
600132.SH,重庆啤酒,10,0.0247299033065309,0.2203385501510504,80.0,80.0,2.212994896284094,0.3820495407232416,0.437600053206062,0.0546875
002946.SZ,新乳业,7,0.0744715521283617,0.0020590072011738,71.42857142857143,71.42857142857143,11.151682556221015,9.781559386133923,0.14513014979398678,0.2265625
600186.SH,莲花控股,10,0.0274556566014847,0.1739381966371836,90.0,70.0,9.536387584601353,7.705442229040503,0.044741911565225674,0.171875
300138.SZ,晨光生物,10,0.0322672655015151,0.1097414498139015,70.0,70.0,3.216452852404109,1.3855074968432568,0.07518656629641172,0.171875
603866.SH,桃李面包,10,0.0016844285057235,0.9334789843133844,80.0,70.0,2.9077619436363746,1.076816588075522,0.17272116553001277,0.171875
000972.SZ,*ST中基,9,0.0185575268822793,0.3687457978705217,66.66666666666666,66.66666666666666,6.167993133853935,4.406401605353693,0.13512304803225342,0.25390625
002707.SZ,众信旅游,9,0.0086648151324872,0.6736989174544444,77.77777777777779,66.66666666666666,5.049912131356688,3.5041895099576537,0.06869347418058074,0.25390625
300146.SZ,汤臣倍健,9,0.0053903708488617,0.7944762587918438,66.66666666666666,66.66666666666666,3.434294000797089,1.6426121810756977,0.24308431562912375,0.25390625
000888.SZ,峨眉山Ａ,10,0.003488637427792,0.8627512667765755,70.0,60.0,4.400037123194011,2.569091767633158,0.1004523674038966,0.376953125
600054.SH,黄山旅游,10,0.008096347611241,0.6882692674564367,70.0,60.0,4.343645964185265,2.512700608624413,0.15261762259315007,0.376953125
603199.SH,九华旅游,10,0.0130266939528247,0.518577832938472,60.0,60.0,4.097693386721032,2.266748031160179,0.17673944451599505,0.376953125
300144.SZ,宋城演艺,10,0.0440600464255395,0.029000584417769,70.0,60.0,3.5411251728891906,1.7101798173283378,0.1820295797128662,0.376953125
002840.SZ,华统股份,9,0.0521147521652502,0.0142986544041434,55.55555555555556,55.55555555555556,5.999277065120113,4.453554443721078,0.12882584081121837,0.5
002507.SZ,涪陵榨菜,9,0.0216472509206969,0.2963689713956116,66.66666666666666,55.55555555555556,2.0292869296150493,0.2376051098936588,0.452050616217793,0.5
000978.SZ,桂林旅游,10,0.0009062161327605,0.9641824420351688,80.0,50.0,3.716549981642218,1.8856046260813657,0.19115318442042795,0.623046875
600754.SH,锦江酒店,10,0.0146492058799711,0.467868757426908,70.0,50.0,3.2812176175676084,1.4502722620067565,0.14469314706998843,0.623046875
600298.SH,安琪酵母,10,0.0261556738575599,0.1948673511037625,50.0,50.0,0.6759526572051301,-1.1549926983557224,0.7618180256781701,0.623046875
000568.SZ,泸州老窖,10,0.0187189501595961,0.3553535139229089,60.0,50.0,0.3975035592949208,-1.433441796265931,0.712528467905124,0.623046875
603369.SH,今世缘,10,0.0342357752796968,0.089699894163293,70.0,50.0,0.04640904588273394,-1.7845363096781184,0.7970727293838102,0.623046875
002597.SZ,金禾实业,10,0.0466945180255099,0.0206065644253418,60.0,50.0,-0.12644126259945354,-1.957386618160306,0.7949434693494131,0.623046875
002033.SZ,丽江股份,9,0.0153475456322964,0.4523363536350002,88.88888888888889,44.44444444444444,3.3250429543677815,1.5333611346463896,0.21457463566774937,0.74609375
603027.SH,千禾味业,9,0.0072745645073789,0.720748141436973,77.77777777777779,44.44444444444444,0.00453558724960601,-1.5411870341494287,0.732656918252085,0.74609375
002568.SZ,百润股份,10,0.0067888577005478,0.737077164077626,50.0,40.0,1.3902788099243053,-0.44066654563654684,0.5378657112750918,0.828125
600779.SH,水井坊,10,0.0096255496334356,0.633579703880891,50.0,40.0,0.6169985286043952,-1.2139468269564575,0.6574398676388684,0.828125
600809.SH,山西汾酒,10,0.0249600068552378,0.2171993273825181,50.0,40.0,-0.08822049133927798,-1.9191658469001305,0.7473697137489574,0.828125
002557.SZ,洽洽食品,10,0.021956026559337,0.2765429313719846,60.0,40.0,-0.30484369727059074,-2.1357890528314427,0.8867386087709158,0.828125
600305.SH,恒顺醋业,10,0.0035069005002574,0.8620399478392752,60.0,40.0,-0.3324348922091177,-2.1633802477699704,0.8748092527122404,0.828125
603156.SH,养元饮品,8,0.0378128521729229,0.095826002678804,37.5,37.5,0.187404409850497,-1.2844930112402078,0.5973648183272312,0.85546875
600138.SH,中青旅,10,0.0095078178156144,0.638218414233737,70.0,30.0,2.4322576673042304,0.6013123117433782,0.4123314100335533,0.9453125
600872.SH,中炬高新,10,0.0264581832912501,0.1897523869297311,60.0,30.0,1.3644570509078293,-0.4664883046530231,0.565941602503681,0.9453125
000596.SZ,古井贡酒,10,0.013201317438313,0.5129872002753508,40.0,30.0,0.7896827231866542,-1.0412626323741982,0.6620565306009162,0.9453125
600258.SH,首旅酒店,10,0.0014115173392874,0.9442941798060732,30.0,30.0,0.7116151810367699,-1.1193301745240825,0.7169061050146923,0.9453125
002304.SZ,洋河股份,10,0.0304920179644731,0.1307063191598335,50.0,30.0,0.5712691156948081,-1.2596762398660437,0.6988916702111897,0.9453125
000895.SZ,双汇发展,10,0.0294423887948964,0.1457215618993212,50.0,30.0,0.2756145835258227,-1.5553307720350296,0.8107504899035851,0.9453125
000858.SZ,五粮液,10,0.0369565433983352,0.0669613342725493,40.0,30.0,-0.020867637273046837,-1.8518129928338989,0.8433010259735494,0.9453125
