ts_code,stock_name,best_holiday,best_corr_pre7_dummy,best_corr_pvalue,best_corr_pre7_dummy_excess,best_corr_excess_pvalue,best_avg_pre7_cum_return_pct,best_avg_post7_cum_return_pct,best_avg_pre7_excess_cum_return_pct,best_avg_post7_excess_cum_return_pct,best_pre7_excess_pvalue_gt0,events
603057.SH,紫燕食品,国庆,0.21153395069781028,9.503861147005582e-10,0.17745363656418936,3.147559798729413e-07,30.62382906113595,-5.9900113787141835,25.360547704560215,-4.963089977279586,0.22468942505253767,4
603182.SH,嘉华股份,中秋,0.1818456984524952,1.3270556754157938e-07,0.2043715624168758,2.8184391691659913e-09,20.653348669582083,20.529585743723054,21.68449437041064,17.26108243195605,,2
300892.SZ,品渥食品,国庆,0.14530842015790424,1.347905372403033e-07,0.13819450193762672,5.400010803750684e-07,31.58472298797661,-0.6015240600286228,28.751260279453415,-0.4067924669913053,0.09311208176797148,6
605499.SH,东鹏饮料,端午,0.14400997804656682,9.813932793078214e-07,0.1496392460866286,3.6027905638682365e-07,23.338297300355045,8.400505830144656,23.38067890434828,7.540153625421105,0.13234611300298155,5
301073.SZ,君亭酒店,国庆,0.13707726026365402,7.96657682570873e-06,0.12270954482678564,6.49167223042263e-05,30.65892054500199,-4.657724526228792,26.4490359335836,-3.8360156600068662,0.20156031745350522,5
605198.SH,安德利,清明,0.11652688790259882,2.3753111641428616e-05,0.11524516527256902,2.921104189302947e-05,22.8824988095525,3.4973011220351653,21.774363358563207,5.480522086193454,0.06544387973902809,4
600929.SH,雪天盐业,清明,0.11051181730434247,1.280859215598427e-06,0.10726113288903068,2.6090931788489288e-06,16.827766415102328,10.783090967594935,15.107722495339022,11.93499489276792,0.15174298261274616,7
001215.SZ,千味央厨,中秋,0.0982258045078081,0.0012614784733752972,0.11215605095382455,0.0002290308004470535,25.496950933508344,14.492892591196158,26.388591095832954,12.73632785103301,0.26541632574947693,3
605077.SH,华康股份,春节,0.09783234221225065,0.0006583718764386721,0.10251932639312354,0.00035645002653053706,10.562588270953349,4.779184748450998,9.982693787376663,3.629237927906292,0.21316963687118803,5
003000.SZ,劲仔食品,国庆,0.09002967266510366,0.0010916202730107643,0.07555880648484255,0.006158741155976827,12.834936651357255,-0.8421556925037971,10.184994798032273,-0.6474240994664794,0.1325383937907312,6
605089.SH,味知香,五一,0.08625525661495657,0.0032149124486714736,0.09780689614534599,0.0008294119748006923,14.742288216010973,20.01745725812264,15.464547756189546,18.801311448923045,0.2322438056799155,5
603288.SH,海天味业,国庆,0.08366417844118634,3.2800995220908056e-05,0.07630660517496651,0.00015263467848730295,7.842402890639349,-2.415900294516032,6.237116025171737,-1.909821942926838,0.018307705985418813,10
300829.SZ,金丹科技,五一,0.07638967168227254,0.004090468237178889,0.08983928373097921,0.0007288218827063535,12.274096548106463,7.477937692955006,12.833716862617486,6.404673857395515,0.15776582812045806,6
001318.SZ,阳光乳业,端午,0.07254447683535405,0.028738036590785537,0.07879847733345133,0.01749334347266979,12.186602237973977,-4.663633649487184,12.188246770960518,-5.902931981427282,0.2295906498562361,4
000505.SZ,京粮控股,清明,0.07242789938026001,0.0004739559813863435,0.06719789978626499,0.001186574377649112,9.964890484383233,2.1627356182218596,8.706415246206245,2.663533045245114,0.07596092480678601,9
600887.SH,伊利股份,国庆,0.06951826046796876,0.0005988935865314938,0.05987050374159919,0.0031279081969007136,6.401405281473277,-0.49569927268160696,4.540007487328532,0.3593838442515548,0.007841937438390892,9
603517.SH,ST绝味,清明,0.06901916636665131,0.0013116927728133803,0.06385372305965668,0.0029547819612753025,10.329648007843089,-1.2019411495555392,8.912084520542415,-0.4013488563694305,0.15437086315933915,8
605016.SH,百龙创园,五一,0.067471869333797,0.0210510323335276,0.07876551019449245,0.0070526248489061385,10.597690416477985,14.180631520052511,11.503197327848005,12.964485710852918,0.07150868871854062,5
002568.SZ,百润股份,国庆,0.0674388558521491,0.0008414490482857666,0.06359110882462488,0.001644515368549214,8.882372051672323,-2.5566083653407583,7.277085186204711,-2.0505300137515636,0.011632142611524567,10
002946.SZ,新乳业,春节,0.06737757101213249,0.005314308618188386,0.07447155212836176,0.002059007201173838,14.572888260921706,8.923530747954498,14.496968276380201,7.711647333233521,0.24198829857463044,7
600519.SH,贵州茅台,国庆,0.06613970605844573,0.0010343464919479496,0.05713129847951586,0.004606412363668527,6.096690547829477,-2.1087111924639492,4.491403682361863,-1.602632840874755,0.015396656591096779,10
603317.SH,天味食品,国庆,0.06584436686113199,0.007301180171645681,0.05856464001159047,0.017049625197797506,9.393948894308048,1.9827574436440532,7.5707237864105235,1.788120981203851,0.013785202790282019,7
603231.SH,索宝蛋白,国庆,0.06453701419293671,0.14012382410323732,-0.01737653231301886,0.6914802494546387,9.130103324503569,-4.7186340659433395,-2.663985189841966,-2.163261037176678,,2
000568.SZ,泸州老窖,国庆,0.06389717174773964,0.001589114865169518,0.06053944416911029,0.0027748350911192404,8.119416122291414,-2.380084233911114,6.5141292568238,-1.8740058823219194,0.03754074478451294,10
603156.SH,养元饮品,国庆,0.061207303317569184,0.0069885604875430645,0.04626194292708689,0.041556887385415464,7.26260938819661,-3.8127105219128863,5.105220592779802,-2.7645383592671005,0.15758564660034055,8
603779.SH,威龙股份,端午,0.06026217778404288,0.0033909377076929287,0.06319233720031685,0.0021218918822870077,10.2308410459532,3.869961657807867,10.134818845984563,2.7188493839844834,0.15050432400229669,10
