ts_code,stock_name,holiday,corr_pre7_dummy,corr_pvalue,corr_pre7_dummy_excess,corr_excess_pvalue,avg_pre7_cum_return_pct,avg_post7_cum_return_pct,avg_pre7_excess_cum_return_pct,avg_post7_excess_cum_return_pct,pre7_excess_t_stat,pre7_excess_pvalue_gt0,post7_excess_t_stat,post7_excess_pvalue_gt0,events
001318.SZ,阳光乳业,端午,0.07254447683535405,0.028738036590785537,0.07879847733345133,0.01749334347266979,12.186602237973977,-4.663633649487184,12.188246770960518,-5.902931981427282,0.8470692481939425,0.2295906498562361,-0.8292207324676842,0.7661023202839504,4
001318.SZ,阳光乳业,国庆,0.020440556866018776,0.5382302028489356,-0.015059003000161646,0.6502432477853645,3.3564029149815404,-2.9531339720356984,-1.6806278492914468,-1.926212570601102,-1.180207393754471,0.838511994892649,-0.8724735203885445,0.7764198710204383,4
001318.SZ,阳光乳业,清明,-0.013761674535597927,0.6786119030683986,-0.014795515597484868,0.6559657934514467,-1.4777525277192005,-2.829445822729193,-1.7730794819710125,-0.7034257961804178,,,,,2
001318.SZ,阳光乳业,春节,-0.029572154943166618,0.37316667727262504,-0.04141640868598537,0.2122118948476014,-3.9433447145654252,3.0497553098740426,-5.595672948778334,0.6410198876679112,-3.1690511120857177,0.9565979732278118,0.37560629301420945,0.3716527972078114,3
001318.SZ,阳光乳业,五一,-0.03575229762238906,0.28157880360164694,-0.03481549647921062,0.2943863144650694,-4.309223976573432,-1.4967472505105848,-4.150395440207474,-2.6955871954294426,-0.7760294644226039,0.7405337741510896,-1.2749545995744036,0.8347959662302713,3
001318.SZ,阳光乳业,中秋,-0.05291070144940125,0.11090029499923347,-0.05128116007643313,0.12234698912685243,-8.585551673770109,1.959093363872666,-8.080940086648543,-1.309409947894335,,,,,2
002329.SZ,皇氏集团,端午,-0.0023316728902352812,0.9081091725073496,-0.0025803851522674345,0.8983580618346396,-0.4664596300386921,-0.100463032623236,-0.562481830007332,-1.2515753064466195,-0.25379864450728007,0.5973229407582055,-0.8299361501333732,0.7859802865301382,10
002329.SZ,皇氏集团,清明,-0.003960257913859442,0.8445760888304493,-0.01437028506108101,0.4768350756797946,-0.9558390154352002,3.731370265679934,-2.214314253612188,4.2321676927031895,-1.1038876512557894,0.8491320793261474,0.7626549855741834,0.23377916544230265,9
002329.SZ,皇氏集团,国庆,-0.009498590594690392,0.6382015386146165,-0.02286575141423701,0.25760902218726156,-1.2541593878000423,-0.28571986262027416,-2.8594462532676554,0.22035848896891994,-2.0066959691555346,0.9621346848732996,0.0734360822584682,0.471532663925632,10
002329.SZ,皇氏集团,中秋,-0.01256415663934235,0.5339536808706226,-0.017779161179642206,0.3787602093783311,-2.428324753092792,-1.9350446297170996,-3.0689173905079987,-2.1081976170060317,-2.698943174769585,0.9785809353989713,-1.5138509636883783,0.904758085362657,6
002329.SZ,皇氏集团,春节,-0.022658329491800674,0.26195235739405126,-0.020244140418430454,0.31622828083502635,-3.2641887900980384,6.447098851130586,-2.7966071195400213,4.737130837731388,-0.8941458397604877,0.8027369807480875,2.9236246137393995,0.00846584091615961,10
002329.SZ,皇氏集团,五一,-0.046352077111943564,0.021688530301847746,-0.041215944962630195,0.04123485740689317,-6.03288373392014,1.7940692568563417,-4.913226642313572,2.151243397166871,-2.465580164220226,0.9820854312330254,1.1063651242573396,0.14863138160325579,10
002570.SZ,贝因美,国庆,0.02003892779254336,0.32474052719592816,0.008783777707614926,0.6660163462245807,2.596639691733535,-1.3712157363579824,0.9913528262659221,-0.8651373847687882,0.5879852889212199,0.2854996674292215,-0.7238175791771143,0.756217999881114,10
002570.SZ,贝因美,清明,0.014075713956720826,0.48913797174326934,0.004664336196477283,0.8187170802053059,1.7407754983797286,-0.7833574228133782,0.4823002602027405,-0.28255999579012325,0.21840171506060793,0.4162922475566051,-0.053557086499151606,0.5206993410399734,9
002570.SZ,贝因美,端午,-0.003868786887021709,0.8492280518125218,-0.004383445845875756,0.829461021392567,-0.4603596975919821,-0.009788747941343878,-0.5563818975606216,-1.1609010217647273,-0.31888055058097925,0.6214532662462928,-0.910638321255528,0.8068871914463988,10
002570.SZ,贝因美,中秋,-0.013640876174083227,0.5026598173072305,-0.019301233996032296,0.3428729662125057,-1.9963282240484528,2.67312572888436,-2.63692086146366,2.4999727415954283,-2.1469379362077112,0.9577140747959887,1.2596196928048715,0.13170187745003878,6
002570.SZ,贝因美,春节,-0.018078064684462977,0.3743338912483599,-0.01457246414552696,0.4739336858078076,-2.28112347943121,6.06558048188628,-1.8135418088731925,4.35561246848708,-0.7842878014810645,0.7734908535604499,2.1664489628463883,0.029225260452261658,10
002570.SZ,贝因美,五一,-0.048283939164333704,0.017599425150786583,-0.0433349219302017,0.03314081586168564,-5.177876672159299,4.571081221456984,-4.197458861182101,4.928255361767514,-1.45426699611159,0.9100798551857888,2.550512575479741,0.01558426126245016,10
002719.SZ,麦趣尔,清明,0.022916555592000412,0.2681223464061294,0.015740504828152653,0.4469104761969917,2.8785997124339264,-1.601287875775732,1.6201244742569394,-1.1004904487524785,0.757512582466435,0.23523217653455264,-0.24209122729682978,0.5925999826716508,9
002719.SZ,麦趣尔,国庆,0.004779968562078104,0.8173509613404849,-0.002692581880718174,0.8964898333188235,0.8056904796880888,2.1050322787177027,-0.4783466366035044,1.584249054011507,-0.2450157276928644,0.5936939066768476,1.15904242376228,0.13993143095677352,9
