ts_code,stock_name,best_holiday,best_corr_pre7_dummy,best_avg_pre7_cum_return_pct,best_avg_post7_cum_return_pct,events
301073.SZ,君亭酒店,国庆,0.13707726026365405,30.65892054500199,-4.657724526228792,5
600754.SH,锦江酒店,国庆,0.03390835276574626,4.13020166371273,-4.651048024960815,10
000610.SZ,西安旅游,中秋,0.020564582836361978,3.6448743673319424,-0.8147487538615348,6
002582.SZ,好想你,国庆,0.0200162913127435,3.1864984943207033,-1.656750864675356,10
000721.SZ,西安饮食,中秋,0.015905038477016353,3.0004899560842127,1.1473065799241144,6
603099.SH,长白山,中秋,0.008033785345324422,1.500761507819916,0.26772132190187065,6
002186.SZ,全聚德,中秋,0.004963617751260951,0.570945655124396,1.5470663240938787,6
600258.SH,首旅酒店,中秋,0.0034853143845748214,0.6653146527253441,2.3245999849319134,6
000978.SZ,桂林旅游,中秋,0.0032857948305908564,0.23903917452024456,1.250023637011218,6
600138.SH,中青旅,中秋,0.0011038659284711822,0.09718059884617136,-0.14864435528589315,6
