ts_code,stock_name,holiday,corr_pre7_dummy,avg_pre7_cum_return_pct,avg_post7_cum_return_pct,events
002582.SZ,好想你,国庆,0.0200162913127435,3.1864984943207033,-1.656750864675356,10
002582.SZ,好想你,清明,0.005878573933100763,1.0267235162830415,-0.5964510802000523,14
002582.SZ,好想你,中秋,-0.007379605344108082,-0.6189975899151379,6.035939851210155,6
002582.SZ,好想你,五一,-0.025117476744627155,-3.018137754823441,2.3664662532862257,7
002582.SZ,好想你,端午,-0.035857875823455676,-3.6878326916586883,0.5489497426777109,8
002582.SZ,好想你,春节,-0.06294037396332795,-7.016248521598811,5.2540925910807745,9
000721.SZ,西安饮食,中秋,0.015905038477016353,3.0004899560842127,1.1473065799241144,6
000721.SZ,西安饮食,国庆,-0.006481206466518083,-0.12484576000484608,-4.457026343239642,10
000721.SZ,西安饮食,端午,-0.02912192502578835,-3.7927884695313354,-0.35862198154038283,8
000721.SZ,西安饮食,清明,-0.03748652481487848,-3.6669008414887956,0.16397420080939293,14
000721.SZ,西安饮食,五一,-0.042105273481970164,-6.142807505377648,-1.6134943907588073,7
000721.SZ,西安饮食,春节,-0.04662693550225336,-5.737745405337246,4.434012704502256,10
002186.SZ,全聚德,中秋,0.004963617751260951,0.570945655124396,1.5470663240938787,6
002186.SZ,全聚德,国庆,-0.01241023463090387,-0.9710501526283144,-3.824464977726131,10
002186.SZ,全聚德,五一,-0.019634176620763298,-2.130297817618037,-0.4143742896602212,7
002186.SZ,全聚德,端午,-0.024326445016494138,-2.4517276058508592,-1.0012869147375913,8
002186.SZ,全聚德,清明,-0.030597047331971123,-2.116905284538776,-1.4439905560425237,14
002186.SZ,全聚德,春节,-0.06071548018538498,-5.346904671400859,1.476023958297954,10
000610.SZ,西安旅游,中秋,0.020564582836361978,3.6448743673319424,-0.8147487538615348,6
000610.SZ,西安旅游,端午,-0.03083772209653823,-4.15725317171458,2.3196354742351994,7
000610.SZ,西安旅游,五一,-0.03398292490744025,-4.606200641031434,-3.853535006175894,7
000610.SZ,西安旅游,国庆,-0.0353418941924577,-3.8571306584184306,-7.101031155682961,10
000610.SZ,西安旅游,清明,-0.03637209427296844,-3.652249430633483,-0.9490210630750227,13
000610.SZ,西安旅游,春节,-0.04544535892870235,-5.560545433182405,3.972702952440527,10
000978.SZ,桂林旅游,中秋,0.0032857948305908564,0.23903917452024456,1.250023637011218,6
000978.SZ,桂林旅游,春节,-0.005144467176631685,-0.7174775442180968,2.0185155154474757,10
000978.SZ,桂林旅游,端午,-0.014526703132860905,-1.5002894615237212,0.3489303450591619,8
000978.SZ,桂林旅游,清明,-0.03011391481001679,-2.2999800261117778,-1.4025863993900682,14
000978.SZ,桂林旅游,五一,-0.03392851879136878,-4.036951338097318,-1.5276040708787362,7
000978.SZ,桂林旅游,国庆,-0.04601700543227221,-4.014503856527524,-5.728017839425381,10
600258.SH,首旅酒店,中秋,0.0034853143845748214,0.6653146527253441,2.3245999849319134,6
600258.SH,首旅酒店,清明,0.0030498266460737278,0.4404096310480927,-1.514870907718694,14
600258.SH,首旅酒店,国庆,0.0017437224043969956,0.5998133902638914,-3.418063776809307,10
600258.SH,首旅酒店,春节,-0.004079839057405001,-0.2962102617891561,1.2993605178853573,10
600258.SH,首旅酒店,五一,-0.0073623723476847185,-0.707330448262814,-2.587470391941292,7
600258.SH,首旅酒店,端午,-0.012750829393423015,-1.316439391674079,-0.07906660117106534,8
600754.SH,锦江酒店,国庆,0.03390835276574626,4.13020166371273,-4.651048024960815,10
600754.SH,锦江酒店,春节,0.007197791138577649,0.8199749449272884,2.730512892512655,10
600754.SH,锦江酒店,五一,0.006159228146190197,0.9316510937583072,-1.4634619740858652,7
600754.SH,锦江酒店,端午,0.0018098416375883105,0.28476886353521474,-0.6361707172139783,8
600754.SH,锦江酒店,清明,-0.003987177675149634,-0.43005150407313125,-1.8760144630357745,14
600754.SH,锦江酒店,中秋,-0.025459434270761826,-3.1650314644227593,3.305941805307779,6
301073.SZ,君亭酒店,国庆,0.13707726026365405,30.65892054500199,-4.657724526228792,5
301073.SZ,君亭酒店,端午,-0.005114328848904505,0.612459183706845,-3.7719302757868385,3
301073.SZ,君亭酒店,清明,-0.008158744667511587,0.06961635530781969,3.2681412639613754,5
301073.SZ,君亭酒店,中秋,-0.01272179627170929,-2.786330035390033,56.50362548361357,3
301073.SZ,君亭酒店,春节,-0.024551353193581177,-4.052056696253453,8.86149264465572,4
301073.SZ,君亭酒店,五一,-0.028796380410761956,-6.095536076596656,1.4715438449554805,3
603099.SH,长白山,中秋,0.008033785345324422,1.500761507819916,0.26772132190187065,6
603099.SH,长白山,端午,-0.021882919617977024,-2.3303958460284786,4.102419214113823,8
603099.SH,长白山,清明,-0.026661749456413985,-2.312793423839217,-2.2374991757831046,14
603099.SH,长白山,春节,-0.03498027354112527,-3.7120837794262442,2.941177580801181,10
603099.SH,长白山,五一,-0.04158006561897036,-5.498355145027008,0.4615597028770347,7
603099.SH,长白山,国庆,-0.045102022594369615,-4.605874266496734,-0.46531720321994746,10
600138.SH,中青旅,中秋,0.0011038659284711822,0.09718059884617136,-0.14864435528589315,6
600138.SH,中青旅,春节,0.0006462204551317015,-0.1480494479452143,1.371880621428071,10
600138.SH,中青旅,端午,-0.011303294718777585,-1.09163661210928,0.30935628156015804,8
600138.SH,中青旅,国庆,-0.01279987012683061,-0.9475587373236409,-4.83144639931156,10
600138.SH,中青旅,清明,-0.016605241289144194,-1.2166150444532289,-1.3449111226124213,14
