ts_code,stock_name,best_holiday,best_corr_pre7_dummy,best_avg_pre7_cum_return_pct,best_avg_post7_cum_return_pct,events
300892.SZ,品渥食品,国庆,0.14530842015790418,31.58472298797661,-0.6015240600286228,6
001318.SZ,阳光乳业,端午,0.08781343730416151,16.741171809096837,-6.418028778906571,3
600887.SH,伊利股份,国庆,0.06951826046796881,6.401405281473277,-0.49569927268160696,9
605300.SH,佳禾食品,五一,0.06739971255633877,9.010238134169942,20.3056503035162,4
002946.SZ,新乳业,春节,0.06737757101213256,14.572888260921706,8.923530747954498,7
605337.SH,李子园,春节,0.05634467853921423,9.690682413691246,3.019926077415916,5
605388.SH,均瑶健康,五一,0.05407696763025377,9.311100348899465,8.717447525910854,4
600882.SH,妙可蓝多,国庆,0.04075657439643374,5.3718971420854,-1.563136745166687,10
600419.SH,天润乳业,国庆,0.03501213555480216,3.719208531952527,-1.560050864117315,10
600597.SH,光明乳业,国庆,0.02996131419355802,2.4839643922173096,-2.2654912393691387,10
002570.SZ,贝因美,国庆,0.02003892779254335,2.596639691733535,-1.3712157363579824,10
002582.SZ,好想你,国庆,0.0200162913127435,3.1864984943207033,-1.656750864675356,10
300915.SZ,海融科技,国庆,0.015075784613491613,3.4400310085136665,0.0754110219666897,5
002732.SZ,燕塘乳业,国庆,0.014241645339776695,1.4401912095844316,-2.3528304242451448,10
600429.SH,三元股份,清明,0.013681253900496397,1.1069332714495068,1.1051023309980688,14
605179.SH,一鸣食品,国庆,0.00961035871234741,2.446328196828703,-2.307586731044884,5
300106.SZ,西部牧业,国庆,0.007413989645733186,1.6708359247233655,0.21672202366205812,10
002719.SZ,麦趣尔,国庆,0.004779968562078099,0.8056904796880888,2.1050322787177027,9
002329.SZ,皇氏集团,端午,0.002558667480238864,0.2152627502661526,-0.47708084378998583,8
300898.SZ,熊猫乳品,国庆,0.00241858597518658,4.7848420272870955,55.81673817120065,6
002910.SZ,庄园牧场,国庆,-0.0038690288861899695,0.19726514039139476,-2.222294867265761,8
