rel_day,ret_pct,cum_pct
-7,-0.6791400000000001,-0.6791400000000003
-6,-0.017190000000000014,-0.6962132558339995
-5,-0.35436,-1.048106154540629
-4,-0.55668,-1.598951557199535
-3,0.38964999999999994,-1.215531871942166
-2,0.6219899999999999,-0.6011023586324549
-1,0.11110000000000002,-0.4906701833528926
1,-0.17925000000000002,-0.6690406570492247
2,0.89804,0.2229910902342036
3,0.7496,0.9742626314465985
4,0.26818,1.2450554089716181
5,-0.45178,0.7876504976449539
6,0.51752,1.3092467465003699
7,-0.07888999999999999,1.2293238817420615
