ts_code,stock_name,best_holiday,best_corr_pre7_dummy,best_avg_pre7_cum_return_pct,best_avg_post7_cum_return_pct,events
603057.SH,紫燕食品,国庆,0.21153395069781022,30.62382906113595,-5.9900113787141835,4
603182.SH,嘉华股份,中秋,0.1818456984524953,20.653348669582083,20.529585743723054,2
300892.SZ,品渥食品,国庆,0.14530842015790418,31.58472298797661,-0.6015240600286228,6
605499.SH,东鹏饮料,端午,0.14201703991982834,26.27010162452956,9.33504996143069,4
301073.SZ,君亭酒店,国庆,0.13707726026365405,30.65892054500199,-4.657724526228792,5
605089.SH,味知香,五一,0.11969701822594431,21.767315569666156,25.69137514575683,4
605198.SH,安德利,国庆,0.10946441841159892,20.318974665658452,-4.858667235507507,6
001215.SZ,千味央厨,中秋,0.0982258045078081,25.496950933508344,14.492892591196158,3
605077.SH,华康股份,春节,0.09783234221225078,10.562588270953349,4.779184748450998,5
300829.SZ,金丹科技,五一,0.09329911252832145,16.28662986555693,8.797067756544314,5
003000.SZ,劲仔食品,国庆,0.09002967266510357,12.834936651357255,-0.8421556925037971,6
001318.SZ,阳光乳业,端午,0.08781343730416151,16.741171809096837,-6.418028778906571,3
603288.SH,海天味业,国庆,0.0836641784411863,7.842402890639349,-2.415900294516032,10
605016.SH,百龙创园,五一,0.07400117300244366,12.90522399358396,11.807756525197206,4
600887.SH,伊利股份,国庆,0.06951826046796881,6.401405281473277,-0.49569927268160696,9
603779.SH,威龙股份,端午,0.06844234132079172,12.881416109884599,4.8172988435878406,8
002568.SZ,百润股份,国庆,0.06743885585214916,8.882372051672323,-2.5566083653407583,10
605300.SH,佳禾食品,五一,0.06739971255633877,9.010238134169942,20.3056503035162,4
002946.SZ,新乳业,春节,0.06737757101213256,14.572888260921706,8.923530747954498,7
600929.SH,雪天盐业,清明,0.06709829987842858,9.40490778876005,8.762616991178499,10
600519.SH,贵州茅台,国庆,0.06613970605844569,6.096690547829477,-2.1087111924639492,10
603317.SH,天味食品,国庆,0.06584436686113201,9.393948894308048,1.9827574436440532,7
603231.SH,索宝蛋白,国庆,0.06453701419293674,9.130103324503569,-4.7186340659433395,2
000568.SZ,泸州老窖,国庆,0.06389717174773964,8.119416122291414,-2.380084233911114,10
603517.SH,ST绝味,国庆,0.06184303539267887,8.001189912358274,-3.431994066300223,9
603156.SH,养元饮品,国庆,0.061207303317569184,7.26260938819661,-3.8127105219128863,8
600872.SH,中炬高新,国庆,0.0583053045645667,6.553505078798071,-1.2804889253551,10
002507.SZ,涪陵榨菜,国庆,0.058036545079148225,6.064099954729146,-2.389165866013948,10
605337.SH,李子园,春节,0.05634467853921423,9.690682413691246,3.019926077415916,5
603719.SH,良品铺子,国庆,0.05594739603630981,7.906049439915076,-4.621728344458355,6
603170.SH,宝立食品,国庆,0.05494317666319793,7.5165109939923065,-2.0114863498822886,4
603136.SH,天目湖,国庆,0.054269211744305115,8.007957394878225,0.23415962513081467,9
605388.SH,均瑶健康,五一,0.05407696763025377,9.311100348899465,8.717447525910854,4
300146.SZ,汤臣倍健,国庆,0.054031541285228184,5.516844197135965,-3.4820400893250723,10
603027.SH,千禾味业,国庆,0.05393266435395485,7.541430763643899,1.219996012516085,10
000596.SZ,古井贡酒,国庆,0.05188993010273532,6.733676918420011,-4.451449763439853,10
000858.SZ,五粮液,国庆,0.05080578652955714,5.901135403221559,-2.448236992745354,10
603345.SH,安井食品,国庆,0.04582387232768148,6.889471793343198,-2.473182796028025,9
603866.SH,桃李面包,国庆,0.04430184089587421,4.635566824343455,-1.4240626909282625,10
688089.SH,嘉必优,五一,0.04416999921277946,10.196249764652357,-1.3379680505093927,5
002840.SZ,华统股份,春节,0.04356894245272193,6.997741692726984,4.730959200777383,9
000895.SZ,双汇发展,国庆,0.042874618862302226,3.6595224011872203,-2.3174629786593424,10
600132.SH,重庆啤酒,五一,0.04178521609748051,5.893239620514192,5.373724448006201,7
001338.SZ,永顺泰,国庆,0.04155709777451112,6.912380378861037,-4.9949532044129,3
600882.SH,妙可蓝多,国庆,0.04075657439643374,5.3718971420854,-1.563136745166687,10
600305.SH,恒顺醋业,国庆,0.04060236606507052,3.8924275564420134,-2.049410780557936,10
002304.SZ,洋河股份,国庆,0.04001755173345886,4.3362755479574435,-0.8231862661781953,10
301206.SZ,三元生物,国庆,0.039291292412648796,3.9421479052966806,-1.4419065816807686,4
002216.SZ,三全食品,国庆,0.03884297811880007,4.1908086028100495,-1.0465305641141778,10
601888.SH,中国中免,国庆,0.0382057709235948,5.176587373507894,-4.254794125133782,10
300765.SZ,新诺威,清明,0.03767730661940457,7.216412514053297,-1.922112811391755,8
300999.SZ,金龙鱼,国庆,0.03722536234427768,7.572170751288513,8.960900560894272,6
300858.SZ,科拓生物,五一,0.03717214228105485,6.507543027415583,1.8747705248144342,4
603369.SH,今世缘,国庆,0.035870651622289355,4.71903390928298,-2.261132042446662,10
600419.SH,天润乳业,国庆,0.03501213555480216,3.719208531952527,-1.560050864117315,10
000799.SZ,酒鬼酒,端午,0.034913835111540656,5.672529316321237,6.63878923081028,8
002597.SZ,金禾实业,春节,0.03399738111295946,3.903230221966779,-0.0636449012221691,10
600600.SH,青岛啤酒,国庆,0.033971210004620805,3.862830555332298,-3.0451891406753737,10
600754.SH,锦江酒店,国庆,0.03390835276574626,4.13020166371273,-4.651048024960815,10
600298.SH,安琪酵母,国庆,0.03326608064131293,3.7186058556984207,0.8202059987988687,10
300138.SZ,晨光生物,国庆,0.03323657549098077,3.8011149876079706,-0.7812806935739312,10
