ts_code,stock_name,holiday,corr_pre7_dummy,avg_pre7_cum_return_pct,avg_post7_cum_return_pct,events
001318.SZ,阳光乳业,端午,0.08781343730416151,16.741171809096837,-6.418028778906571,3
001318.SZ,阳光乳业,国庆,0.020440556866018807,3.3564029149815404,-2.9531339720356984,4
001318.SZ,阳光乳业,清明,-0.015224085751605797,-1.4692815329022297,-4.342427333854811,3
001318.SZ,阳光乳业,春节,-0.029572154943166656,-3.9433447145654252,3.0497553098740426,3
001318.SZ,阳光乳业,五一,-0.03618587998213853,-4.3174796206155355,1.1592334477817563,3
001318.SZ,阳光乳业,中秋,-0.052910701449401215,-8.585551673770109,1.959093363872666,2
002329.SZ,皇氏集团,端午,0.002558667480238864,0.2152627502661526,-0.47708084378998583,8
002329.SZ,皇氏集团,国庆,-0.009498590594690406,-1.2541593878000423,-0.28571986262027416,10
002329.SZ,皇氏集团,中秋,-0.01256415663934236,-2.428324753092792,-1.9350446297170996,6
002329.SZ,皇氏集团,春节,-0.022658329491800668,-3.2641887900980384,6.447098851130586,10
002329.SZ,皇氏集团,清明,-0.025685082913240807,-3.0648133627360927,1.653805933510634,14
002329.SZ,皇氏集团,五一,-0.029190170301626704,-4.630099957475579,4.454536902088782,7
002570.SZ,贝因美,国庆,0.02003892779254335,2.596639691733535,-1.3712157363579824,10
002570.SZ,贝因美,端午,0.0023100771602770497,0.24655304627247276,0.17020157544230807,8
002570.SZ,贝因美,清明,-0.0003630878725964578,0.010522085824346281,1.8259255748891754,14
002570.SZ,贝因美,中秋,-0.013640876174083228,-1.9963282240484528,2.67312572888436,6
002570.SZ,贝因美,春节,-0.018078064684462946,-2.28112347943121,6.06558048188628,10
002570.SZ,贝因美,五一,-0.047704867008999126,-6.119302540545127,1.662591039692726,7
002719.SZ,麦趣尔,国庆,0.004779968562078099,0.8056904796880888,2.1050322787177027,9
002719.SZ,麦趣尔,端午,0.002242361522858257,0.40741450161091297,3.0043034391007017,8
002719.SZ,麦趣尔,中秋,0.0011427489684306894,0.14002832366144088,5.976496248510479,5
002719.SZ,麦趣尔,清明,-0.012707623606406222,-1.3538501626866626,-1.1491941094341855,14
002719.SZ,麦趣尔,五一,-0.04370460938234303,-6.463753141622797,0.004676867334521947,7
002719.SZ,麦趣尔,春节,-0.08464956358316798,-9.949595665303113,8.24063741905788,10
002732.SZ,燕塘乳业,国庆,0.014241645339776695,1.4401912095844316,-2.3528304242451448,10
002732.SZ,燕塘乳业,端午,0.0004746988883793914,0.06710967653875266,0.293321001179092,8
002732.SZ,燕塘乳业,中秋,-0.013292702209847438,-1.6593747867638877,2.3799367240580183,6
002732.SZ,燕塘乳业,清明,-0.025423942601073696,-1.9263174267846643,2.076686559584597,14
002732.SZ,燕塘乳业,五一,-0.03712510107682342,-4.246299338821091,1.584524584192602,7
002732.SZ,燕塘乳业,春节,-0.05774202377082507,-5.504269288850985,2.1539152823419827,10
002910.SZ,庄园牧场,国庆,-0.0038690288861899695,0.19726514039139476,-2.222294867265761,8
002910.SZ,庄园牧场,中秋,-0.008894595688129827,-0.9876298047925468,0.6192651509079127,5
002910.SZ,庄园牧场,五一,-0.012288446110069547,-1.619761142630636,3.2684741370481514,6
002910.SZ,庄园牧场,清明,-0.013317144560401954,-1.1031893690494257,-2.9070750778939214,10
002910.SZ,庄园牧场,端午,-0.03306197748361876,-4.420551318453372,1.8374296325413257,7
002910.SZ,庄园牧场,春节,-0.08306476617374625,-10.303862015137224,9.265887524340693,8
002946.SZ,新乳业,春节,0.06737757101213256,14.572888260921706,8.923530747954498,7
002946.SZ,新乳业,国庆,0.015300310145235118,3.081278005920605,-0.6219900443633154,7
002946.SZ,新乳业,清明,0.011066846268516183,2.01518853244001,0.09266937115656027,8
002946.SZ,新乳业,端午,-0.019539955405803573,-1.921094687394109,-1.0257861224846936,6
002946.SZ,新乳业,中秋,-0.02142866142258247,-2.6803708563032957,3.447405158659608,4
002946.SZ,新乳业,五一,-0.027618542866463026,-3.195528425948775,7.766917408678825,6
300106.SZ,西部牧业,国庆,0.007413989645733186,1.6708359247233655,0.21672202366205812,10
300106.SZ,西部牧业,中秋,-0.004130227525501893,-0.5144786721115476,0.48384766274009267,6
300106.SZ,西部牧业,清明,-0.012015778620362863,-1.0632971730680452,-1.5554543663662344,14
300106.SZ,西部牧业,端午,-0.027481397682373145,-4.048435793307834,-0.277191668446222,8
300106.SZ,西部牧业,五一,-0.03577678276506208,-5.8031013860326865,3.5746772264804165,7
300106.SZ,西部牧业,春节,-0.06209872269778625,-8.086670023714595,7.2586102551155545,10
300892.SZ,品渥食品,国庆,0.14530842015790418,31.58472298797661,-0.6015240600286228,6
300892.SZ,品渥食品,中秋,-0.006673978847544875,-1.4473828312790424,20.476187666672512,3
300892.SZ,品渥食品,端午,-0.016806643187044827,-4.281003836091224,-1.721710131879542,4
300892.SZ,品渥食品,清明,-0.024398562920671857,-4.925841505266308,1.3073161290532518,6
300892.SZ,品渥食品,五一,-0.032348791504368424,-8.961713687785744,6.37015725275979,4
300892.SZ,品渥食品,春节,-0.05948389102995241,-14.44938654633641,8.92657291380215,5
300898.SZ,熊猫乳品,国庆,0.00241858597518658,4.7848420272870955,55.81673817120065,6
300898.SZ,熊猫乳品,中秋,-0.011695424128927885,-6.016522886824312,6.060367286986746,3
300898.SZ,熊猫乳品,端午,-0.011984424028650027,-5.111576292813333,0.314621555874925,4
300898.SZ,熊猫乳品,五一,-0.013687616050066314,-6.014334056206092,1.4894870299643508,4
